,id,url,verified,username,fullname,avatar,timestamp,text,links,isQuote,isRetweet,isReply,replyingTo,likes,replies,retweets,quotes,searchQuery,quotedTweet,images
0,1848555715385770240,https://twitter.com/legodealer/status/1848555715385770309,False,@legodealer,Urobi OFF Temu,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1815543399094595584/Tk6ifaSI.jpg,2024-10-22 02:43:00+00:00,adderall,[],False,False,True,"['/DET_in_TOL', '/E_Woodyard']",0,0,0,0,Temu,,
1,1848555627154440704,https://twitter.com/Brandon23824746/status/1848555627154440600,False,@Brandon23824746,Brandon,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1822448995215585280/7H0Xc9Uw.jpg,2024-10-22 02:43:00+00:00,"7/10all around good. Newday was great ending made it 11/10 Excited 4 Seth & Reed. Miz getting bullied = excellent foreshadowing. Liv & Raquel match good. Missed seeing Raquel in ring. USO LOST,  I cried 10/10 screw temu bloodline. Time 2 get the crew back 2gether. ROMAN SAY YEET!",[],False,False,True,['/WrestlingDazeYT'],0,0,0,0,Temu,,
2,1848555544816361472,https://twitter.com/augiegirl5/status/1848555544816361563,False,@augiegirl5,Andrea Treptow,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/625622682353147904/Qt7Lpq97.jpg,2024-10-22 02:42:00+00:00,"Can you accept my invitation so I can get free gifts worth up to $80?🎁
Search my code in Temu or tap my link to download & accept my invite
338698363
temu.com/s/b23eHTwyz5sYGd",['https://temu.com/s/b23eHTwyz5sYGd'],False,False,False,,0,0,0,0,Temu,,
3,1847673015099601152,https://twitter.com/shoptemu/status/1847673015099601168,True,@shoptemu,Temu,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1564497322855534592/6vUA-39x.jpg,2024-10-19 16:15:00+00:00,Shop your favorite items on Temu at low prices with great discounts.,[],False,True,False,,123,0,7,1,Temu,,
4,1848405122394534144,https://twitter.com/GalaxyDanGan/status/1848405122394534244,False,@GalaxyDanGan,dandagan ⚡️🔥 | 🐉,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1402255163574951942/Tckgwb84.jpg,2024-10-21 16:44:00+00:00,People forget Izuku fr becomes a genuine crackhead when backed into a corner,[],True,True,False,,19632,64,1200,30,Temu,"{'url': 'https://twitter.com/killingkatsuki/status/1847646673721577532', 'avatar': '', 'username': '@killingkatsuki', 'fullname': 'blaise ✮', 'timestamp': '2024-10-19T14:31:00.000Z', 'text': 'this is still one of his coolest moments idc', 'links': []}",
5,1848035739650380288,https://twitter.com/shoptemu/status/1848035739650380283,True,@shoptemu,Temu,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1564497322855534592/6vUA-39x.jpg,2024-10-20 16:17:00+00:00,Shop your favorite items on Temu at low prices with great discounts.,[],False,True,False,,110,0,8,0,Temu,,
6,1848555112643629312,https://twitter.com/DerektheCleric/status/1848555112643629299,True,@DerektheCleric,"DC, Last Legion, Infinity Redux",https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1806059174863798272/walZ2Uzj.jpg,2024-10-22 02:40:00+00:00,Nothing like buying Chinese junk off Temu but sold in Latin America,[],False,False,True,['/MyLatinLife'],0,0,0,0,Temu,,
7,1848555020737782016,https://twitter.com/Rheaownsme/status/1848555020737782067,False,@Rheaownsme,🩸Andi🩸,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1826919958145875968/bLwBQON0.jpg,2024-10-22 02:40:00+00:00,I DESPISE that Temu bloodline #WWERaw,['https://twitter.com/search?q=%23WWERaw'],False,False,False,,0,0,0,0,Temu,,
8,1848554944217174528,https://twitter.com/Rakish_5/status/1848554944217174440,True,@Rakish_5,iHandOutFades,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1732956248511750144/QnsSEpZC.jpg,2024-10-22 02:40:00+00:00,I accidentally tapped on a temu link now they won’t stop fml,[],False,False,False,,0,0,0,0,Temu,,
9,1848554892765630720,https://twitter.com/undertaker013/status/1848554892765630774,False,@undertaker013,Maar13,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1299428417402699779/-boLhAxg.jpg,2024-10-22 02:40:00+00:00,Screw the Temu Bloodline!,[],False,False,True,['/WWE'],0,0,0,0,Temu,,
